Date,BND,XLC,VTV
1926-11-12,,10657.6700000000,6.5204840805
1926-11-15,,10693.8900000000,6.5219200187
1926-11-16,,10644.6600000000,6.5104633278
1926-11-17,,10644.6200000000,6.4865823827
1926-11-18,,10652.0300000000,6.4478798444
1926-11-19,,10615.7800000000,6.4016278461
1926-11-22,,10663.5600000000,6.4671016942
1926-11-23,,10678.4600000000,6.4885051839
1926-11-24,,10708.3200000000,6.5040046877
1926-11-26,,10713.6300000000,6.5099209993
1926-11-29,,10706.0800000000,6.4866316852
1926-11-30,,10706.0400000000,6.5015888605
1926-12-01,,10698.5100000000,6.5112521694
1926-12-02,,10741.2600000000,6.5481551628
1926-12-03,,10765.9300000000,6.5501642436
1926-12-06,,10772.3500000000,6.5443280488
1926-12-07,,10759.3900000000,6.5378755714
1926-12-08,,10750.7400000000,6.5349420670
1926-12-09,,10758.2300000000,6.5643202516
1926-12-10,,10757.1100000000,6.5918064491
1926-12-13,,10754.9200000000,6.6086864256
1926-12-14,,10772.0900000000,6.6188427605
1926-12-15,,10767.7400000000,6.6314149226
1926-12-16,,10778.4700000000,6.6037746544
1926-12-17,,10935.8000000000,6.6918229289
1926-12-20,,10911.4000000000,6.6964573730
1926-12-21,,10889.5400000000,6.6908245513
1926-12-22,,10884.0600000000,6.6753620245
1926-12-23,,10891.6400000000,6.7005310000
1926-12-24,,10878.5300000000,6.7041054382
1926-12-27,,10849.1200000000,6.6899371046
1926-12-28,,10852.3300000000,6.6262134986
1926-12-29,,10857.7200000000,6.6567318059
1926-12-30,,10871.8000000000,6.6462550041
1926-12-31,,10917.4200000000,6.6715349104
1927-01-03,,10915.2000000000,6.6327584183
1927-01-04,,10924.9800000000,6.6424094016
1927-01-05,,10927.1300000000,6.6316552727
1927-01-06,,10939.1100000000,6.6134934288
1927-01-07,,11018.9300000000,6.6503594453
1927-01-10,,11202.8000000000,6.6969565617
1927-01-11,,11160.1900000000,6.6896289633
1927-01-12,,11141.1800000000,6.7012150735
1927-01-13,,11125.5400000000,6.7096150034
1927-01-14,,11145.5300000000,6.7250898558
1927-01-17,,11137.6900000000,6.7401209849
1927-01-18,,11115.3700000000,6.7237155460
1927-01-19,,11099.7700000000,6.7536545477
1927-01-20,,11067.5400000000,6.7422656479
1927-01-21,,11088.5300000000,6.7405277314
1927-01-24,,11066.2400000000,6.6970058643
1927-01-25,,11070.6300000000,6.6231875518
1927-01-26,,11063.9500000000,6.6348661043
1927-01-27,,11082.7200000000,6.6160201868
1927-01-28,,11083.7900000000,6.6156380917
1927-01-31,,11122.5700000000,6.6858326634
1927-02-01,,11140.3200000000,6.6826033433
1927-02-02,,11156.9900000000,6.7334096690
1927-02-03,,11188.1900000000,6.7385987673
1927-02-04,,11200.4600000000,6.7782996831
1927-02-07,,11216.1100000000,6.7582273635
1927-02-08,,11205.9700000000,6.7628679704
1927-02-09,,11184.6400000000,6.7659740340
1927-02-10,,11238.2900000000,6.7716006928
1927-02-11,,11239.3700000000,6.7972010660
1927-02-14,,11244.9500000000,6.8137420871
1927-02-15,,11255.0300000000,6.8233560934
1927-02-16,,11283.1300000000,6.8388802485
1927-02-17,,11332.7300000000,6.8721903152
1927-02-18,,11559.3500000000,6.9093767986
1927-02-21,,11554.6100000000,6.8696019289
1927-02-23,,11560.3500000000,6.9049580534
1927-02-24,,11591.5200000000,6.9165010238
1927-02-25,,11582.2000000000,6.9154964834
1927-02-28,,11562.4700000000,6.9303304021
1927-03-01,,11556.6500000000,6.9120144875
1927-03-02,,11510.3800000000,6.8430586435
1927-03-03,,11549.4700000000,6.9115461128
1927-03-04,,11552.9000000000,6.8620216547
1927-03-07,,11534.3800000000,6.8080229859
1927-03-08,,11525.1100000000,6.8051264584
1927-03-09,,11523.9200000000,6.8325263764
1927-03-10,,11552.6800000000,6.8669765656
1927-03-11,,11549.1800000000,6.8885402888
