Date,SPMOSIM
1973-03-01,11253.7200000000
1973-03-02,11411.6400000000
1973-03-05,11498.0700000000
1973-03-06,11679.3900000000
1973-03-07,11731.0000000000
1973-03-08,11714.7500000000
1973-03-09,11677.5900000000
1973-03-12,11699.0700000000
1973-03-13,11769.2700000000
1973-03-14,11859.7900000000
1973-03-15,11762.1300000000
1973-03-16,11680.9200000000
1973-03-19,11557.5200000000
1973-03-20,11551.6100000000
1973-03-21,11428.3600000000
1973-03-22,11257.3100000000
1973-03-23,11256.4300000000
1973-03-26,11371.2900000000
1973-03-27,11567.5900000000
1973-03-28,11601.4000000000
1973-03-29,11730.6000000000
1973-03-30,11579.3500000000
1973-04-02,11426.3000000000
1973-04-03,11334.2900000000
1973-04-04,11284.1100000000
1973-04-05,11275.3500000000
1973-04-06,11359.6300000000
1973-04-09,11533.7200000000
1973-04-10,11669.2200000000
1973-04-11,11752.6600000000
1973-04-12,11769.9800000000
1973-04-13,11711.2800000000
1973-04-16,11641.8400000000
1973-04-17,11616.0000000000
1973-04-18,11715.2600000000
1973-04-19,11794.9500000000
1973-04-23,11759.9600000000
1973-04-24,11647.4500000000
1973-04-25,11499.4100000000
1973-04-26,11538.7100000000
1973-04-27,11343.5300000000
1973-04-30,11304.0300000000
1973-05-01,11306.3700000000
1973-05-02,11446.1500000000
1973-05-03,11671.9500000000
1973-05-04,11756.1900000000
1973-05-07,11721.5000000000
1973-05-08,11751.3500000000
1973-05-09,11644.3000000000
1973-05-10,11540.9400000000
1973-05-11,11416.2700000000
1973-05-14,11179.8600000000
1973-05-15,11254.8200000000
1973-05-16,11263.7500000000
1973-05-17,11200.1600000000
1973-05-18,11049.3400000000
1973-05-21,10934.8700000000
1973-05-22,11001.7500000000
1973-05-23,11055.4200000000
1973-05-24,11405.6500000000
1973-05-25,11481.4500000000
1973-05-29,11463.3400000000
1973-05-30,11291.0700000000
1973-05-31,11209.2600000000
1973-06-01,11095.7200000000
1973-06-04,11006.9700000000
1973-06-05,11185.6400000000
1973-06-06,11156.9400000000
1973-06-07,11352.1600000000
1973-06-08,11532.0600000000
1973-06-11,11481.9900000000
1973-06-12,11670.0100000000
1973-06-13,11560.0200000000
1973-06-14,11455.5700000000
1973-06-15,11322.3400000000
1973-06-18,11177.7100000000
1973-06-19,11237.2100000000
1973-06-20,11294.2200000000
1973-06-21,11163.6300000000
1973-06-22,11226.5000000000
1973-06-25,11078.8600000000
1973-06-26,11185.7800000000
1973-06-27,11232.0300000000
1973-06-28,11369.1900000000
1973-06-29,11334.2900000000
1973-07-02,11190.8200000000
1973-07-03,11067.1600000000
1973-07-05,11059.9300000000
1973-07-06,10984.9700000000
1973-07-09,11035.8700000000
1973-07-10,11139.1400000000
1973-07-11,11268.2700000000
1973-07-12,11262.1900000000
1973-07-13,11066.9000000000
1973-07-16,11224.0800000000
1973-07-17,11235.6100000000
1973-07-18,11236.8300000000
1973-07-19,11248.6100000000
1973-07-20,11320.7600000000
1973-07-23,11357.2900000000
1973-07-24,11469.6500000000
1973-07-25,11665.1000000000
1973-07-26,11694.9400000000
1973-07-27,11660.0700000000
1973-07-30,11620.1000000000
1973-07-31,11505.2900000000
1973-08-01,11381.8700000000
1973-08-02,11355.3500000000
1973-08-03,11316.0300000000
1973-08-06,11354.6800000000
1973-08-07,11365.9400000000
1973-08-08,11294.0700000000
1973-08-09,11290.9200000000
1973-08-10,11206.7000000000
1973-08-13,11090.0000000000
1973-08-14,10955.8500000000
